attendance,study_hours,previous_marks,assignment_scores,internal_scores,performs_well
83.1,2.0,35.0,100.0,53.0,0
80.1,3.1,78.7,70.3,46.2,1
77.2,4.8,70.2,59.1,79.5,1
63.0,5.5,80.0,67.3,73.3,0
75.0,2.2,21.6,90.6,55.4,0
75.9,5.7,96.3,60.3,55.8,1
70.4,6.7,62.9,58.0,83.8,0
78.1,4.8,81.6,62.8,51.3,0
84.8,7.8,49.4,55.7,91.0,1
100.0,2.5,74.2,71.8,55.4,1
82.1,1.5,49.2,94.4,76.9,0
83.1,0.4,55.6,74.8,63.4,0
79.1,7.0,93.7,66.2,76.4,1
57.0,5.3,62.1,65.6,60.4,0
79.7,3.9,68.3,46.6,65.7,0
80.7,4.6,78.1,83.2,68.6,1
100.0,1.7,72.4,68.8,54.0,1
77.7,8.9,67.3,67.3,78.4,1
83.6,4.3,70.5,100.0,60.8,1
79.6,4.2,100.0,74.5,64.8,1
66.0,5.5,64.1,58.7,54.1,0
93.7,5.0,68.0,63.6,32.1,1
89.0,4.4,80.8,87.2,65.3,1
89.5,2.4,81.6,71.7,100.0,1
69.1,4.9,82.8,48.4,79.0,1
96.8,7.8,74.6,83.8,67.7,1
63.2,6.7,47.9,60.0,64.3,1
87.0,7.2,89.5,98.1,68.3,1
100.0,3.0,47.8,86.2,75.7,0
68.1,2.0,69.5,63.3,51.5,0
73.2,3.7,53.7,89.2,83.6,1
81.2,4.1,64.0,71.0,78.0,1
74.0,6.2,69.9,82.8,78.1,1
61.4,0.6,69.8,77.3,74.1,0
80.8,7.1,71.3,57.3,68.3,1
67.3,3.7,89.2,60.3,77.4,1
85.7,3.1,71.8,85.4,76.3,1
69.0,2.0,61.3,65.0,63.0,1
98.6,0.7,79.5,63.9,60.0,1
70.6,5.6,82.8,55.7,69.4,1
76.1,4.1,46.6,76.4,89.7,1
89.8,1.4,74.0,100.0,50.7,0
65.2,1.4,75.5,54.0,47.5,0
82.7,3.3,60.5,70.4,70.3,1
95.7,7.3,85.6,91.2,68.7,1
60.7,3.5,62.7,68.8,70.4,0
82.2,1.0,66.9,76.8,71.4,0
83.1,3.5,62.4,54.1,64.9,0
89.4,3.5,65.2,76.4,88.9,1
65.2,0.0,48.6,67.2,45.6,0
64.2,3.9,43.4,84.8,56.4,0
86.3,3.5,88.9,87.8,66.6,1
83.6,5.4,52.3,100.0,45.0,1
83.0,7.7,50.1,78.7,65.5,1
84.2,6.3,32.7,74.9,91.3,1
71.8,3.5,55.4,72.9,68.3,0
82.8,1.8,45.2,64.7,71.2,0
83.5,9.1,89.6,75.1,50.4,1
71.4,4.1,80.1,65.6,59.4,1
100.0,4.0,54.7,72.5,62.7,0
85.7,4.0,98.8,89.8,63.6,1
65.7,4.4,79.7,54.9,85.9,1
87.9,3.7,60.1,87.1,75.8,1
68.3,2.9,27.5,89.8,52.4,0
89.4,2.9,99.4,68.2,71.5,1
93.9,3.9,44.2,38.2,75.0,0
70.2,2.9,40.3,60.9,84.0,0
91.6,2.6,80.3,89.5,90.1,1
85.0,4.2,100.0,69.7,53.8,1
89.9,3.5,85.8,55.0,56.6,1
100.0,7.0,73.5,62.4,50.4,1
77.1,0.0,73.9,82.6,64.7,1
71.0,6.2,77.8,78.2,74.5,1
69.3,6.5,76.4,66.4,81.8,1
70.2,0.0,69.2,64.5,66.9,0
79.1,3.3,66.6,64.1,63.5,1
84.1,3.3,64.1,56.2,70.1,0
83.3,1.2,53.7,94.2,56.3,0
89.9,2.4,60.8,65.2,97.3,0
80.2,1.8,39.6,88.3,45.5,0
97.4,7.5,63.5,92.8,70.6,1
76.8,5.9,50.2,85.0,96.3,1
100.0,6.5,48.4,63.5,68.1,1
87.5,5.4,67.7,76.1,65.3,1
69.7,1.7,85.9,69.6,63.0,0
67.1,3.0,78.8,56.4,65.5,0
85.8,5.0,41.4,74.9,87.2,1
77.3,1.6,50.2,52.3,37.0,0
88.6,5.4,79.1,87.8,89.5,1
85.7,3.5,50.3,63.0,48.1,0
79.1,3.3,61.6,73.0,64.3,0
69.8,5.4,73.3,74.2,62.0,1
61.8,4.9,50.5,66.1,76.2,0
74.6,3.3,66.6,78.8,45.6,0
90.3,6.3,45.0,62.9,74.5,1
82.6,1.8,56.0,83.1,96.3,1
65.1,5.2,69.8,49.8,48.9,0
82.1,5.2,41.1,71.9,70.7,1
84.6,3.4,71.6,99.1,58.7,1
69.4,4.7,64.7,55.0,74.0,1
81.8,1.5,73.3,59.8,68.3,0
80.7,5.8,68.4,77.7,59.0,1
66.3,3.6,85.5,72.7,74.8,1
84.3,3.0,66.9,75.3,93.3,1
86.7,6.1,58.6,77.3,65.3,1
93.0,2.6,66.8,79.5,78.1,1
92.6,1.2,73.1,86.6,49.9,1
63.5,0.9,65.7,76.1,54.6,0
68.7,5.2,65.6,66.4,74.6,1
86.2,1.4,54.5,80.1,88.8,1
86.2,7.5,55.1,98.5,73.0,1
86.2,0.0,44.0,68.0,63.6,0
100.0,7.4,91.2,55.4,68.0,1
86.9,4.4,46.3,86.6,50.5,0
93.6,3.8,54.6,68.2,76.5,1
91.4,2.9,54.2,37.4,80.4,0
87.8,4.8,78.4,82.7,61.7,1
76.2,3.9,60.6,62.0,61.4,0
89.1,6.2,83.7,68.6,71.7,1
70.7,4.2,54.9,75.0,61.9,0
77.2,4.3,69.2,72.9,67.1,1
74.2,3.3,52.5,80.6,97.4,0
81.0,3.9,97.2,63.5,64.5,1
100.0,4.6,47.2,77.7,63.0,1
57.6,0.6,69.6,66.1,58.9,0
88.2,1.3,74.5,81.1,78.4,0
60.6,5.5,71.2,79.2,65.5,1
74.3,4.3,62.2,56.0,58.9,1
93.1,3.6,63.1,86.3,86.5,1
80.8,4.0,65.7,62.0,87.9,1
67.1,4.7,62.8,82.1,59.6,1
71.4,2.9,79.5,75.5,41.9,0
88.2,2.4,98.2,97.6,82.1,1
71.2,4.4,56.6,66.6,58.4,1
82.6,2.0,44.5,64.8,79.1,1
80.5,4.8,63.7,69.7,40.4,1
72.2,0.6,100.0,65.5,80.5,0
100.0,6.1,52.9,82.0,51.0,1
87.6,4.9,89.6,45.8,78.2,1
55.7,4.5,90.2,54.2,68.2,0
82.2,6.0,56.7,54.0,54.6,1
72.1,7.3,73.5,84.3,62.3,1
90.2,6.0,89.4,95.7,77.6,1
70.5,0.3,59.3,68.4,69.5,0
78.6,1.4,61.9,67.5,76.2,0
86.1,2.8,56.3,71.1,95.7,1
90.4,4.1,49.8,87.4,46.1,1
65.6,5.0,55.3,56.1,90.6,0
76.0,2.5,46.6,73.6,69.5,0
74.3,4.4,65.5,84.6,55.4,1
72.2,2.5,53.5,77.5,49.4,0
100.0,2.8,68.5,72.8,65.4,1
84.9,1.2,41.7,85.0,80.9,0
64.9,2.2,70.0,29.5,66.2,0
91.0,1.3,77.5,80.2,89.2,1
100.0,2.0,35.1,60.2,47.7,0
92.4,6.1,70.6,42.5,67.8,1
61.8,2.1,83.4,77.7,50.5,0
74.2,9.3,46.9,90.6,73.1,1
95.2,5.0,90.1,67.9,80.4,1
71.5,4.4,71.3,84.3,62.1,0
85.3,2.3,54.4,94.2,31.5,0
89.3,5.4,64.2,89.7,70.8,1
68.9,2.8,73.4,94.6,74.1,1
79.3,4.2,66.1,81.1,73.7,1
41.1,9.1,73.1,71.1,85.3,1
67.7,3.8,51.2,46.0,53.0,0
77.0,6.3,67.5,66.3,77.5,1
65.0,2.6,43.8,57.4,84.7,0
99.6,3.9,63.3,100.0,43.1,1
62.8,7.5,51.4,67.4,72.5,1
74.7,2.7,54.0,71.8,60.9,0
81.6,7.6,83.5,78.3,66.9,1
97.3,5.4,81.4,70.7,72.9,1
62.8,2.9,74.1,95.4,61.2,0
94.0,5.3,48.6,60.7,58.5,0
80.1,5.9,60.3,72.9,68.5,0
68.2,5.2,83.2,58.9,52.8,0
85.5,0.9,67.1,50.2,52.8,0
82.4,2.5,99.8,60.8,77.5,1
72.8,3.5,70.9,69.4,51.9,0
80.8,3.9,67.9,63.6,77.3,1
75.4,5.2,60.4,59.6,74.5,1
81.4,4.4,67.0,48.9,43.8,1
87.9,1.3,62.7,68.8,58.5,0
99.0,4.8,75.6,47.4,84.7,1
65.1,5.2,79.4,81.4,54.3,0
100.0,5.1,53.2,71.2,61.5,1
56.6,6.2,45.0,48.1,74.5,0
78.2,5.7,37.5,65.4,79.0,0
87.1,4.9,72.6,58.7,64.5,0
83.4,3.9,48.4,74.8,59.6,0
72.5,0.7,32.7,90.1,87.9,0
77.5,4.9,70.8,41.9,92.3,1
74.1,4.4,100.0,71.7,81.7,1
72.9,4.5,64.9,67.6,69.2,0
90.2,1.4,77.6,80.1,56.7,0
84.3,1.8,66.2,73.2,56.4,0
71.7,6.1,63.5,58.7,75.3,0
90.8,3.9,78.8,65.2,73.9,1
83.7,5.4,60.6,58.1,87.6,0
89.8,4.1,69.0,86.1,77.1,1
87.6,4.1,69.8,70.3,47.0,1
70.1,5.9,55.0,98.5,82.7,1
73.3,3.0,79.9,69.1,54.0,1
89.0,4.2,62.4,59.4,62.6,1
87.3,3.1,53.7,47.3,71.5,0
79.7,3.1,73.0,43.0,95.9,1
81.4,3.4,51.5,46.2,100.0,0
95.3,4.4,65.4,74.0,76.5,1
72.9,3.0,64.9,77.6,65.4,0
86.6,6.5,81.3,46.3,75.5,1
77.6,2.2,72.1,83.4,80.4,1
77.4,3.6,64.6,62.8,63.5,0
93.2,3.1,77.3,72.2,93.1,1
89.9,6.9,85.9,94.2,71.2,1
89.8,4.4,73.4,83.5,75.0,1
95.7,6.1,65.2,66.0,77.3,1
80.3,1.0,45.3,56.6,73.9,0
88.2,4.5,49.0,37.7,79.7,0
76.3,5.8,60.4,59.2,59.4,1
83.9,4.2,55.9,66.8,60.2,1
78.4,6.1,62.2,55.2,52.6,0
81.2,3.0,65.8,68.0,74.2,0
87.1,6.8,72.9,71.2,78.9,1
70.2,8.6,63.9,66.6,74.4,1
100.0,3.3,72.3,60.2,91.4,1
67.9,3.1,66.0,72.5,67.9,0
65.4,6.9,35.4,76.6,77.4,1
93.9,7.2,50.9,53.6,52.7,1
89.5,3.0,62.8,91.2,62.6,1
87.5,3.2,46.9,68.5,77.7,1
87.5,3.4,74.0,70.3,79.9,1
79.9,1.3,88.0,80.6,63.9,0
69.2,2.2,83.3,73.5,67.0,0
80.9,2.0,61.8,84.3,46.7,1
71.9,2.5,87.4,74.3,63.0,1
91.7,3.9,67.2,60.8,80.5,1
78.2,4.5,59.9,75.4,76.1,1
70.1,7.1,55.8,52.8,75.0,1
76.1,2.0,60.5,71.6,68.7,1
85.0,6.0,59.2,69.5,68.1,1
73.2,3.6,67.6,66.9,58.8,0
70.1,3.9,67.4,68.1,77.8,1
82.9,5.3,65.0,41.8,73.9,0
82.9,1.8,71.6,61.8,74.9,1
73.9,4.8,82.9,71.4,60.6,0
74.3,4.3,79.2,72.4,37.9,1
82.8,5.0,42.7,54.6,83.4,0
62.6,4.6,26.7,89.0,61.3,0
63.1,8.9,79.0,57.0,55.9,1
71.4,2.7,44.5,84.5,77.7,0
77.4,2.9,61.6,76.4,62.5,0
83.7,2.8,47.4,60.3,82.8,0
97.7,2.9,38.0,96.6,76.6,1
90.3,2.7,73.1,52.1,77.6,0
78.1,6.4,76.4,83.8,48.9,1
79.8,6.8,56.4,85.0,85.0,1
68.0,2.9,26.1,59.9,71.7,0
79.8,2.3,56.8,90.9,62.8,0
76.5,4.9,70.9,66.2,70.0,1
83.9,2.9,42.8,74.3,43.1,0
70.1,5.3,67.8,73.9,73.7,1
86.2,4.4,64.8,68.0,53.6,0
98.4,1.0,73.7,82.2,49.1,1
78.7,7.1,66.8,81.9,46.7,0
84.8,7.6,50.4,43.8,83.6,1
88.3,2.8,82.9,89.6,59.2,1
75.2,3.2,62.6,45.1,89.5,0
82.7,4.6,64.6,85.5,60.5,0
80.2,4.7,51.0,86.9,44.1,0
81.2,5.3,58.4,53.6,52.4,1
70.7,8.0,51.7,63.8,85.3,1
80.3,3.6,62.4,53.4,65.8,0
86.0,2.4,90.7,66.8,60.3,1
97.4,1.2,44.4,65.4,70.2,0
91.5,2.5,40.8,81.7,75.0,0
100.0,3.9,87.1,89.7,83.6,1
70.8,7.6,61.9,90.9,88.3,1
90.5,3.0,55.0,61.6,63.0,0
82.2,4.4,80.6,66.9,49.4,1
100.0,4.0,55.9,44.7,62.2,1
70.3,6.4,92.4,57.9,71.6,1
69.9,9.1,75.2,84.5,54.5,0
72.8,2.9,57.7,94.2,54.6,0
54.5,3.0,97.4,51.5,72.8,0
73.7,6.1,55.9,61.1,67.3,1
70.9,5.4,76.1,69.6,68.5,0
81.8,7.7,69.5,74.2,57.4,1
84.1,5.2,84.5,57.9,64.8,1
100.0,3.3,88.4,76.4,55.1,1
91.4,5.2,65.5,62.9,80.5,1
73.1,6.2,53.7,69.8,82.5,1
69.2,5.6,71.9,78.2,42.2,1
85.9,5.0,54.8,70.1,55.0,0
64.2,6.1,95.2,63.5,47.0,1
100.0,6.3,67.0,68.4,58.9,1
94.2,6.8,59.5,68.7,66.8,1
74.4,5.3,67.8,64.4,47.7,1
59.4,3.7,44.8,66.1,55.1,0
96.2,4.3,50.4,94.0,53.9,1
78.6,6.4,83.0,78.4,70.9,1
94.9,2.4,55.1,65.6,69.0,1
60.9,4.7,49.3,80.5,57.9,0
72.8,3.2,73.0,65.0,70.5,0
80.1,4.1,82.8,87.6,60.3,1
80.6,6.6,75.8,75.5,64.2,1
74.6,4.4,79.9,68.4,91.4,1
87.5,4.1,53.6,76.7,86.8,1
67.2,1.3,43.7,46.4,49.8,0
78.3,5.5,87.5,53.1,79.6,1
81.4,5.3,60.2,52.1,79.4,0
86.2,8.3,61.2,72.1,51.9,1
88.5,3.4,84.9,96.0,79.5,1
66.5,4.4,73.3,100.0,89.5,1
61.6,4.5,71.8,79.6,52.3,0
95.3,7.2,97.5,77.5,55.2,1
84.0,3.8,55.3,43.0,82.2,1
71.0,4.6,78.9,61.9,71.8,1
98.6,5.2,65.9,58.2,75.7,1
81.4,4.4,69.0,60.7,72.8,1
94.2,3.1,87.9,67.5,73.5,1
80.8,4.4,72.6,62.9,49.4,1
100.0,6.1,73.1,40.3,82.7,1
100.0,1.9,81.1,81.2,84.4,1
77.0,4.3,59.5,53.9,64.8,0
91.7,2.6,52.4,73.6,67.4,0
87.7,6.4,49.3,100.0,46.6,1
96.4,1.0,35.5,56.2,75.2,0
68.4,2.9,95.8,32.0,76.0,0
88.2,4.8,48.5,65.7,67.1,1
92.7,7.1,61.7,86.5,83.7,1
58.9,3.9,60.8,99.4,63.3,1
65.8,2.9,69.6,51.6,75.9,1
55.5,7.8,77.2,77.5,53.7,1
76.8,1.1,77.9,63.0,67.7,0
88.6,0.0,56.3,68.4,65.6,0
98.0,4.9,62.5,100.0,71.2,1
80.9,3.0,69.2,47.5,62.8,1
99.5,2.0,61.3,73.8,66.2,0
63.4,5.4,89.1,77.0,79.6,1
59.6,4.5,72.4,86.3,61.9,0
79.3,2.9,76.0,71.5,45.5,0
84.6,1.4,74.9,74.6,92.5,1
79.6,5.7,82.6,64.1,87.3,1
55.2,5.3,67.7,74.0,49.9,0
78.9,3.8,45.5,64.9,77.7,0
64.3,7.7,71.0,79.3,61.0,1
88.0,1.9,55.2,64.5,71.7,0
84.4,0.9,57.1,75.7,72.1,0
68.7,2.6,73.8,69.6,64.7,0
73.8,3.9,83.6,86.9,57.0,1
67.3,4.5,65.3,69.2,58.3,0
79.2,3.5,69.6,43.4,55.2,1
91.5,4.7,90.5,88.9,56.4,1
68.2,1.5,68.6,56.4,67.1,0
86.0,6.9,100.0,60.2,58.0,1
73.6,3.8,73.5,61.1,77.5,0
70.5,6.2,38.6,90.6,88.8,1
78.7,4.7,76.3,38.0,59.9,1
67.6,4.9,70.7,100.0,71.4,1
73.4,5.1,84.3,85.8,75.0,1
65.6,4.9,75.1,73.3,74.6,0
100.0,5.3,62.9,69.2,69.1,1
80.4,6.7,46.6,74.3,78.4,1
71.6,4.4,61.9,77.8,74.8,0
82.6,5.4,52.2,79.7,50.7,0
78.7,3.8,56.3,78.3,80.2,1
77.3,6.9,73.8,71.3,80.4,1
87.4,2.6,90.0,67.0,57.3,1
89.1,7.6,70.9,67.7,68.5,1
73.6,3.9,47.1,67.1,77.6,0
73.1,1.1,71.7,87.0,65.1,1
76.7,4.3,82.9,78.9,83.0,0
52.4,2.6,55.9,25.9,100.0,0
61.8,5.7,63.0,79.8,57.0,0
96.4,2.7,65.2,72.9,48.7,1
99.7,3.1,53.2,69.7,72.3,1
77.0,0.2,74.7,64.2,78.1,0
86.9,3.1,63.2,86.9,64.8,1
83.7,0.0,71.3,84.2,88.3,0
100.0,0.8,51.7,58.4,49.3,0
93.4,5.5,58.4,76.1,77.7,1
78.5,5.6,75.8,55.4,59.5,1
68.5,4.9,59.4,49.3,92.1,1
60.7,2.1,90.9,60.6,95.9,1
82.4,3.9,59.0,82.9,57.3,1
70.9,4.0,68.4,84.3,60.3,0
62.9,1.7,79.0,77.7,80.0,0
72.2,7.0,43.7,80.9,62.6,0
67.0,5.8,38.6,77.7,67.4,0
100.0,3.6,42.1,60.4,68.4,0
90.6,4.1,83.9,76.5,41.1,1
79.9,4.4,56.7,82.0,67.8,1
97.8,0.0,100.0,81.3,58.3,1
80.9,3.5,56.5,87.8,61.1,1
69.7,2.6,67.8,80.6,88.2,1
98.3,2.0,88.1,75.3,50.4,1
86.5,3.4,95.1,86.1,79.4,1
67.6,7.6,95.9,69.6,64.1,1
77.7,5.3,83.1,56.8,64.1,0
69.5,2.9,80.4,67.6,79.1,1
63.4,5.1,73.9,58.8,72.8,0
